name,url,party,state,district,chamber,start,end
"Cochran, Thad",https://www.congress.gov/member/thad-cochran/C000567,Republican,Mississippi,0,Senate,1979,2018
"Cochran, Thad",https://www.congress.gov/member/thad-cochran/C000567,Republican,Mississippi,4,House,1973,1979
"Coffman, Mike",https://www.congress.gov/member/mike-coffman/C001077,Republican,Colorado,6,House,2009,2019
"Cohen, Steve",https://www.congress.gov/member/steve-cohen/C001068,Democratic,Tennessee,9,House,2007,inf
"Cole, Tom",https://www.congress.gov/member/tom-cole/C001053,Republican,Oklahoma,4,House,2003,inf
"Collins, Chris",https://www.congress.gov/member/chris-collins/C001092,Republican,New York,27,House,2013,2019
"Collins, Doug",https://www.congress.gov/member/doug-collins/C001093,Republican,Georgia,9,House,2013,inf
"Collins, Susan M.",https://www.congress.gov/member/susan-collins/C001035,Republican,Maine,N/A,Senate,1997,inf
"Comer, James",https://www.congress.gov/member/james-comer/C001108,Republican,Kentucky,1,House,2016,inf
"Comstock, Barbara",https://www.congress.gov/member/barbara-comstock/C001105,Republican,Virginia,10,House,2015,2019
"Conaway, K. Michael",https://www.congress.gov/member/k-conaway/C001062,Republican,Texas,11,House,2005,inf
"Connolly, Gerald E.",https://www.congress.gov/member/gerald-connolly/C001078,Democratic,Virginia,11,House,2009,inf
"Conrad, Kent",https://www.congress.gov/member/kent-conrad/C000705,Democratic,North Dakota,N/A,Senate,1987,2013
"Conyers, John, Jr.",https://www.congress.gov/member/john-conyers/C000714,Democratic,Michigan,13,House,2013,2017
"Conyers, John, Jr.",https://www.congress.gov/member/john-conyers/C000714,Democratic,Michigan,14,House,1993,2013
"Conyers, John, Jr.",https://www.congress.gov/member/john-conyers/C000714,Democratic,Michigan,1,House,1965,1993
"Cook, Paul",https://www.congress.gov/member/paul-cook/C001094,Republican,California,8,House,2013,inf
"Coons, Christopher A.",https://www.congress.gov/member/christopher-coons/C001088,Democratic,Delaware,N/A,Senate,2010,inf
